year,day,temperature,humidity ,atmospheric pressure
2022,11/6,13.5 ,61.0 ,1019.3
2022,11/7,13.7 ,70.0 ,1018.9
2022,11/8,15.9 ,55.0 ,1016.1
2022,11/9,14.6 ,58.0 ,1022.2
2022,11/10,15.2 ,64.0 ,1020.1
2022,11/11,16.1 ,66.0 ,1023.3
2022,11/12,16.6 ,77.0 ,1021.2
2022,11/13,18.0 ,82.0 ,1007.9
2022,11/14,16.1 ,52.0 ,1007.7
2022,11/15,11.1 ,93.0 ,1007.9
2022,11/16,12.4 ,66.0 ,1011.3
2022,11/17,12.8 ,58.0 ,1019.4
2022,11/18,13.2 ,67.0 ,1022.0
2022,11/19,13.7 ,61.0 ,1021.0
2022,11/20,11.6 ,80.0 ,1020.9
2022,11/21,13.4 ,93.0 ,1014.8
2022,11/22,15.4 ,74.0 ,1016.3
2022,11/23,11.7 ,93.0 ,1012.6
2022,11/24,15.3 ,66.0 ,1007.7
2022,11/25,13.5 ,67.0 ,1017.8
2022,11/26,12.7 ,81.0 ,1011.7
2022,11/27,14.4 ,54.0 ,1014.4
2022,11/28,11.7 ,65.0 ,1023.8
2022,11/29,16.7 ,84.0 ,1012.6
2022,11/30,16.6 ,81.0 ,1006.4
2022,12/1,10.1 ,74.0 ,1014.5
2022,12/2,9.4 ,60.0 ,1018.4
2022,12/3,7.8 ,67.0 ,1020.9
2022,12/4,10.2 ,66.0 ,1014.7
2022,12/5,7.6 ,78.0 ,1016.9
2022,12/6,6.1 ,94.0 ,1012.0
2022,12/7,8.5 ,71.0 ,1012.7
2022,12/8,9.3 ,62.0 ,1014.8
2022,12/9,9.3 ,66.0 ,1017.6
2022,12/10,10.4 ,65.0 ,1013.8
2022,12/11,9.5 ,72.0 ,1009.9
2022,12/12,8.2 ,59.0 ,1017.4
2022,12/13,7.2 ,87.0 ,1009.1
2022,12/14,9.2 ,52.0 ,1005.1
2022,12/15,7.0 ,47.0 ,1011.8
2022,12/16,8.2 ,51.0 ,1014.9
2022,12/17,6.7 ,64.0 ,1012.7
2022,12/18,6.5 ,57.0 ,1003.0
2022,12/19,4.9 ,38.0 ,1011.8
2022,12/20,5.4 ,48.0 ,1018.0
2022,12/21,6.5 ,60.0 ,1014.5
2022,12/22,7.2 ,86.0 ,992.6
2022,12/23,5.4 ,29.0 ,991.9
2022,12/24,6.2 ,42.0 ,995.6
2022,12/25,6.9 ,49.0 ,1002.5
2022,12/26,6.3 ,46.0 ,1009.8
2022,12/27,6.8 ,48.0 ,1017.9
2022,12/28,6.5 ,61.0 ,1018.6
2022,12/29,8.1 ,51.0 ,1015.6
2022,12/30,6.6 ,51.0 ,1019.6
2022,12/31,5.7 ,60.0 ,1019.4
2023,1/1,6.6 ,62.0 ,1015.8
2023,1/2,6.2 ,51.0 ,1015.7
2023,1/3,5.8 ,42.0 ,1015.2
2023,1/4,5.6 ,47.0 ,1015.2
2023,1/5,5.9 ,36.0 ,1018.8
2023,1/6,5.3 ,47.0 ,1017.0
2023,1/7,6.0 ,59.0 ,1010.4
2023,1/8,7.0 ,58.0 ,1015.7
2023,1/9,8.0 ,61.0 ,1013.5
2023,1/10,6.3 ,42.0 ,1014.9
2023,1/11,5.4 ,52.0 ,1021.3
2023,1/12,6.1 ,52.0 ,1021.2
2023,1/13,8.7 ,60.0 ,1017.9
2023,1/14,9.5 ,81.0 ,1004.9
2023,1/15,10.3 ,84.0 ,1006.9
2023,1/16,6.3 ,90.0 ,1008.0
2023,1/17,4.7 ,65.0 ,1019.0
2023,1/18,7.3 ,64.0 ,1013.8
2023,1/19,6.3 ,61.0 ,1018.3
2023,1/20,7.6 ,63.0 ,1011.2
2023,1/21,5.6 ,37.0 ,1018.1
2023,1/22,4.9 ,51.0 ,1021.5
2023,1/23,4.5 ,77.0 ,1015.6
2023,1/24,4.7 ,61.0 ,997.6
2023,1/25,(0.3),30.0 ,1011.7
2023,1/26,3.0 ,44.0 ,1013.8
2023,1/27,3.8 ,59.0 ,1004.9
2023,1/28,3.7 ,37.0 ,1005.0
2023,1/29,3.4 ,50.0 ,1010.1
2023,1/30,4.2 ,53.0 ,1008.5
2023,1/31,4.6 ,38.0 ,1014.6
2023,2/1,6.8 ,47.0 ,1010.0
2023,2/2,6.4 ,36.0 ,1013.6
