Date,Temperature,Humidity,Pressure
2024-01-01,20.0,50,1010
2024-01-02,21.5,53,1012
2024-01-03,23.0,56,1014
2024-01-04,24.5,50,1016
2024-01-05,26.0,53,1010
2024-01-06,20.0,56,1012
2024-01-07,21.5,50,1014
2024-01-08,23.0,53,1016
2024-01-09,24.5,56,1010
2024-01-10,26.0,50,1012
2024-01-11,20.0,53,1014
2024-01-12,21.5,56,1016
2024-01-13,23.0,50,1010
2024-01-14,24.5,53,1012
2024-01-15,26.0,56,1014
2024-01-16,20.0,50,1016
2024-01-17,21.5,53,1010
2024-01-18,23.0,56,1012
2024-01-19,24.5,50,1014
2024-01-20,26.0,53,1016
2024-01-21,20.0,56,1010
2024-01-22,21.5,50,1012
2024-01-23,23.0,53,1014
2024-01-24,24.5,56,1016
2024-01-25,26.0,50,1010
2024-01-26,20.0,53,1012
2024-01-27,21.5,56,1014
2024-01-28,23.0,50,1016
2024-01-29,24.5,53,1010
2024-01-30,26.0,56,1012
